label,text_mg
ham,"Mandehana hatramin'ny jurong point, adala.. Tsy misy afa-tsy any bugis n great world la e buffet... Cine any got amore wat..."
ham,Ok lar... Mivazivazy raha oni...
spam,Fidirana maimaim-poana amin'ny comp 2 isan-kerinandro mba handresena ny fiadiana ny amboara FA tkts 21 May 2005. Alefaso ny FA amin'ny 87121 hahazoana fanontaniana fidirana (std txt tahan'ny) T&C's mihatra 08452810075over18's
ham,Efa teneninao aloha hoe...
ham,Tsy heveriko fa mandeha any amin'ny usf izy fa eto izy no mipetraka
spam,"FreeMsg Hey ry malala fa efa 3 herinandro izao ary tsy misy valiny! Mbola mila mahafinaritra anao ve aho? Tb ok! XxX std chgs alefa, £1.50 ho an'ny rcv"
ham,Na ny rahalahiko aza tsy tia miresaka amiko. Mitondra ahy toy ny patanty fanampiana izy ireo.
ham,Araka ny fangatahanao 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' dia napetraka ho antso an-tariby ho an'ny mpiantso rehetra. Tsindrio *9 raha handika ny namanao Callertune
spam,MPANDRESY!! Amin'ny maha-mpanjifa tambajotra sarobidy anao dia voafidy handray valisoa £900 ianao! Raha mila fangatahana antsoy ny 09061701461. Kaody fangatahana KL341. 12 ora ihany no manankery.
spam,Efa 11 volana na mihoatra ve ny findainao? UR manan-jo hanavao ny finday miloko farany amin'ny fakan-tsary maimaim-poana! Antsoy maimaimpoana ny Mobile Update Co amin'ny 08002986030
ham,"Hody tsy ho ela aho ary tsy te hiresaka momba an'io zavatra io intsony aho anio alina, k? Efa nitomany aho androany."
spam,"ENINA ny fahafahana hahazo CASH! Manomboka amin'ny 100 ka hatramin'ny 20,000 pounds txt> CSH11 ary alefaso any amin'ny 87575. Vidiny 150p/andro, 6andro, 16+ TsandCs mihatra Reply HL 4 info"
spam,"MAIKA! Nahazo ny maha-mpikambana MAIMAIM-POANA mandritra ny herinandro ianao amin'ny Jackpot Loka £100,000! Txt ny teny: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
ham,Nitady teny mety aho mba hisaorana anao amin'ity fofonaina ity. Mampanantena aho fa tsy horaisiko ho tsinontsinona ny fanampianao ary hotanterahiko ny fampanantenako. Nahafinaritra sy fitahiana foana ianao.
ham,MANANA DATY AMIN'NY ALAHADY AMIN'NY WILL!!
spam,XXXMobileMovieClub: Raha hampiasa ny trosanao dia kitiho ny rohy WAP amin'ny hafatra txt manaraka na tsindrio eto >> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL
ham,Oh k...mijery eto aho :)
ham,"Eh tadidinao ny fomba fanononana ny anarany... Eny, nataoko. Izy v maditra manao mandra i v lena."
ham,Tsara raha izany no tsapanao. Izany no fomba gota b
spam,"Angleterre v Macedonia - aza adino ny tanjona / vaovaon'ny ekipa. Alefaso amin'ny 87077 ny ekipam-pirenenao, ohatra, ENGLAND amin'ny 87077 Andramo: WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+"
ham,Tena izany ve ny fomba fanononanao ny anarany?
ham,Hanandrana 2 volana aho ha ha vazivazy fotsiny
ham,Ka ü mandoa aloha lar... Dia rahoviana no tonga ny stock...
ham,Rehefa vita ny sakafo atoandro dia lasa midina aho. Ady 3 smth lor. Efa vita ny sakafo atoandro?
ham,"Fffffffff. Eny ary, tsy afaka hihaona aminao aloha kokoa aho?"
ham,Nanery ny tenako hihinana tapa-kazo fotsiny. Tena tsy noana aho. Mampalahelo izany. Lasa manahy i Mark. Fantany fa marary aho rehefa mandà pizza. Tpt
ham,Lol maharesy lahatra foana ianao.
